id,title,stockCode,memberType,kfifUrl
894,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,BURCE,IGS,https://www.kap.org.tr/tr/kfif/4028e4a14158e41e01415b2636586ca7
1388,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,BURVA,IGS,https://www.kap.org.tr/tr/kfif/4028e4a14158e41e01415b2789266cb6
5652,BV PORTFÖY YÖNETİMİ A.Ş.,BVP,"FK, PYS",
5769,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,BVSAN,IGS,https://www.kap.org.tr/tr/kfif/8acae2c5830502c30185dea8694c5722
5819,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,BIGCH,IGS,https://www.kap.org.tr/tr/kfif/8acae2c486d22a3a0187c6822e7324e6
5256,BİEN FİNANS FAKTORİNG A.Ş.,BIENF,IGMS,
2952,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,BIENY,IGS,https://www.kap.org.tr/tr/kfif/4028e4a24a5df6e7014ba1e60b464173
5986,BİLGİN GLOBAL BAĞIMSIZ DENETİM A.Ş.,,BDK,
3592,BİLKOM BİLİŞİM HİZMETLERİ A.Ş.,BLKOM,IGS,
1544,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,BLCYT,IGS,https://www.kap.org.tr/tr/kfif/4028e4a2413b80d1014144caf7b90037
1406,BİM BİRLEŞİK MAĞAZALAR A.Ş.,BIMAS,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95be70140ee1b7b030119
6026,BİN ULAŞIM VE AKILLI ŞEHİR TEKNOLOJİLERİ A.Ş.,BINBN,IGS,https://www.kap.org.tr/tr/kfif/8acae2c49145e00b01922d34585110b6
5289,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,BIOEN,IGS,https://www.kap.org.tr/tr/kfif/8acae2c4780814e2017826e1e07318d8
1493,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,BRKO,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240e95dc90140ee21c40601aa
4334,BİRLEŞİK EKOL BAĞIMSIZ DENETİM A.Ş.,,BDK,
2018,BİRLEŞİK FON BANKASI A.Ş.,BYR,YK,
96,BİRLEŞİK UZMANLAR YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.,,BDK,
5292,BİRLEŞİK İPOTEK FİNANSMANI A.Ş.,TMKS,IGMS,
